,newspaper,category,title,keywords,summary,text
0,abc,politics,Video Tracking heat and flash flood threat: Radar,"['video', 'flash', 'searching', 'threat', 'murder', 'flood', 'linked', 'muslim', 'men', 'radar', 'heat', 'tracking', 'vehicle']",Police searching for vehicle that may be linked to murder of 4 Muslim men,Police searching for vehicle that may be linked to murder of 4 Muslim men
1,abc,politics,Video White House holds monkeypox briefing,"['video', 'searching', 'briefing', 'murder', 'muslim', 'house', 'white', 'men', 'linked', 'holds', 'monkeypox', 'vehicle']",Police searching for vehicle that may be linked to murder of 4 Muslim men,Police searching for vehicle that may be linked to murder of 4 Muslim men
2,abc,politics,Video Wisconsin primary election could impact Senate balance of power,"['video', 'wisconsin', 'journal', 'primary', 'votes', 'impact', 'political', 'sentinels', 'power', 'balance', 'state', 'senate', 'milwaukee', 'election']",Wisconsin primary election could impact Senate balance of power ABC News Deputy Political Director Averi Harper and the Milwaukee Journal Sentinel's Bill Glauber discuss high-stakes primary votes in the battleground state.,Wisconsin primary election could impact Senate balance of power ABC News Deputy Political Director Averi Harper and the Milwaukee Journal Sentinel's Bill Glauber discuss high-stakes primary votes in the battleground state.
3,abc,politics,"Gun buyback program sees more than 845 guns turned in, says Houston mayor","['initiative', 'mayor', 'community', 'turned', 'climate', 'program', 'safe', 'gun', 'sees', 'houston', 'buyback', '845', 'tell', 'way', 'guns']","In an effort to combat a surge in gun violence, Houston Mayor Sylvester Turner implemented the One Safe Houston initiative that he said has made significant progress.
We put forth, in February of this year, an initiative called One Safe Houston.
It's our reentry program for people coming out of our criminal justice system, and then it's about a community initiative.
There's $1 million that I've allocated out of $53 million to the One Safe Houston initiative.
In the state of Texas what we know, there are way, way too many guns and people can access these guns better than they can access going to vote.","In an effort to combat a surge in gun violence, Houston Mayor Sylvester Turner implemented the One Safe Houston initiative that he said has made significant progress.

Turner spoke to ABC News’ “GMA3” about engaging his community to join the fight against gun violence and how his city’s gun buyback program was able to voluntarily collect more than 845 guns in just one day.

Demonstrators protest during the National Rifle Association annual convention in Houston, May 27, 2022. Bloomberg via Getty Images, FILE

GMA3: What can you point to in the [gun buyback program] that works to actually, not just collect some guns, but to actually bring down the gun violence problem?

TURNER: Look, it's not just one initiative. We put forth, in February of this year, an initiative called One Safe Houston. And it's a part of supporting our police department, adding 125 police officers more a day through our overtime initiative.

So it's adding more police, it's providing more technology, it's dealing with crisis prevention, intervention and diversion. It's our reentry program for people coming out of our criminal justice system, and then it's about a community initiative.

The gun buyback program is one of several. There's $1 million that I've allocated out of $53 million to the One Safe Houston initiative. So you have to look at it collectively. In terms of the response that we had a few weeks ago.

I would tell you it was overwhelming. It was supposed to have been from 8 to 12. We end up having to cut it off at about 7 p.m., more than 845 guns were turned in and we gave priority vouchers to 150 other cars that we had to turn away because we couldn't get to it.

So I think that if we took one gun off the street that could have been used in seriously injuring or killing someone, then the program, the initiative was worth it.

Police officers collect guns during a buyback program in Miami, June 18, 2022. Bloomberg via Getty Images, FILE

GMA3: And Mayor, I want to ask specifically about if you have any sort of way to gauge the effectiveness. I know you just launched this earlier in the year, but have you seen a change in the crime rate? What do you want to see?

TURNER: Well, let me just tell you, we had people who came, mothers, for example, who came and said, “Look, I have too many guns in this house and I don't want them stolen and then used by someone else or I don't want any of my children or their friends to come and act and get a hold of these guns and then seriously injuring themselves.”

We had people who came and turned in automatics, who said, “Look, because of inflation and everything else, I need the money more so than this gun right now.” Two or three months down the road, he said it might be different. [But] those guns were removed.

In the state of Texas what we know, there are way, way too many guns and people can access these guns better than they can access going to vote.

And so [we are doing] anything that we can do to draw attention to the fact that there are way too many guns and guns are the leading cause of death of our children in this country.

And if we can remove 845-plus guns, as we did two weekends ago on that Saturday morning, then this program is worth it.

And I will tell you, it was one way that the community could participate and in doing something to address public safety. And we plan on doing at least two others in this city over the next 2 to 3 months.

Mayor Sylvester Turner is interviewed in Houston, June 21, 2022. Bloomberg via Getty Images, FILE

GMA3: Is this a matter of community engagement [and] that the citizens can actually feel like they are contributing in some way to a problem in Houston and other major cities?

TURNER: It's about all of that and more. It's important for people to recognize that creating a safe city is not just about police. Law enforcement cannot do it alone. And even though we are provided $10.7 million in overtime for additional police, they can't do it alone. It's not just about the technology.

The community has to be an active participant in terms of creating a very safe city and people are willing to participate and you have to give them an opportunity to participate.

And then bear in mind, in the state of Texas, the legislature last year implemented what we call House Bill 1927, where people can carry guns. There is no permit license permitted, I mean, required, no training. And so it has created this environment that really glorifies guns and people want to fill it. They want to be a part of the solution.

And so the gun buyback program… was a voluntary relinquishment initiative. And let me underscore this. This is where the people themselves voluntarily brought their guns to us. And they were working in collaboration with the police, with our faith-based community, with our community activists and leaders and then the people themselves.

So it was a very collaborative initiative and we didn't know what to expect. But what I can tell you, the line was 2 miles long all day.

GMA3: Houston's recorded the hottest July on record there. How are you holding up? How is the city's power grid? What more needs to be done to make sure that the people in your community can stay cool and stay safe?

TURNER: Well, I would tell you that the Texas power grid, it's still unreliable. This has been a very, very hot summer.

But as chair of Climate and U.S. Climate Mayors, I would tell you climate change is real. The bill that was just passed by the Senate, the Inflation Reduction Act, will go a long way. That's historic funding for climate initiative. And so these storms are coming with greater frequency and greater intensity.

In the last seven years, the city of Houston has faced seven federally declared disasters. So the storms are coming with greater frequency. We are addressing that. We're learning to adapt. We're putting in place climate mitigation initiatives. We're planting 4.6 million trees this decade, using cooling pavement, a lot of redundancy in generators to really make sure that, especially communities that are underserved and under-resourced, that they are not left out and left behind."
4,abc,politics,"House committee can obtain Trump tax returns from IRS, appeals court rules","['audit', 'committee', 'returns', 'trumps', 'sentelle', 'obtain', 'house', 'irs', 'request', 'court', 'appeals', 'rules', 'trump', 'tax', 'neal']","A federal appeals court ruled Tuesday that the House Ways and Means Committee can obtain Donald Trump's tax returns in the latest blow to the former president's effort to shield his finances from Democratic lawmakers.
While the committee said it expects to receive the returns ""immediately,"" it's not clear how quickly that process will unfold -- given that Trump could still appeal the ruling.
Once the committee receives the requested returns, they are reviewed in private but could be made public by a majority vote of committee members.
Despite a possible further appeal from Trump, Neal touted the latest ruling as a win.
When we receive the returns, we will begin our oversight of the IRS's mandatory presidential audit program,"" Neal said in a statement.","The House Ways and Means Committee first sought the records in 2019.

A federal appeals court ruled Tuesday that the House Ways and Means Committee can obtain Donald Trump's tax returns in the latest blow to the former president's effort to shield his finances from Democratic lawmakers.

In the opinion for the three-judge panel, Circuit Judge David Sentelle, a Ronald Reagan appointee, wrote that the committee's investigation served a valid legislative purpose and that the 2019 request for Trump's records was not a retaliatory move in violation of his First Amendment rights.

""The need for the Trump Parties' information to inform potential legislation overrides the burden to the Executive Branch largely because that burden is so tenuous,"" Sentelle wrote.

While the committee said it expects to receive the returns ""immediately,"" it's not clear how quickly that process will unfold -- given that Trump could still appeal the ruling.

A spokesperson for Trump did not immediately respond to a request for comment from ABC News.

Ways and Means Chair Richard Neal, D-Mass., first took action three years ago under a 97-year-old law that requires, by request, the treasury secretary to ""furnish"" the returns of any taxpayer to the chairman of the tax-writing panel.

Democrats successfully argued before the court that the returns were necessary for the tax-writing panel to obtain for a review of the IRS presidential audit program and to determine whether any reforms are needed.

President Donald Trump speaks at the Conservative Political Action Conference at the Hilton Anatole, Aug. 6, 2022, in Dallas. Brandon Bell/Getty Images, FILE

Trump has sought to keep his tax returns under wraps ever since he launched his presidential bid in 2015, claiming that he was not at liberty to release the documents because of an audit. That position was cited by the House panel in launching its probe.

""[T]he Chairman made clear in his letter that the tax returns and return information of the Trump Parties are unique among former Presidents … and learning about how the audit of these complex returns proceeded is necessary to learn whether the Audit Program is sufficiently staffed and resourced to handle such complex information,"" Sentelle wrote in Tuesday's opinion.

Once the committee receives the requested returns, they are reviewed in private but could be made public by a majority vote of committee members.

Despite a possible further appeal from Trump, Neal touted the latest ruling as a win.

Richard Neal speaks during an event at the Capitol in Washington, D.C., Feb. 4, 2022. Samuel Corum/Bloomberg via Getty Images

""With great patience, we followed the judicial process, and yet again, our position has been affirmed by the Courts. I'm pleased that this long-anticipated opinion makes clear the law is on our side. When we receive the returns, we will begin our oversight of the IRS's mandatory presidential audit program,"" Neal said in a statement.

Trump's refusal to release his tax returns has led to years of heightened speculation about his sprawling -- and murky -- finances, and reports have surfaced about the extent of his past business practices and personal wealth.

The appellate court's ruling comes a day after the FBI searched Trump's Mar-a-Lago residence in Florida. That search was carried out in connection to Trump's transport of classified documents to his home after leaving the White House last year, sources told ABC. Trump labeled the raid political persecution.

The former president is also under legal scrutiny in Georgia -- over his efforts to have his 2020 loss in the state overturned -- and in New York over allegations he inflated the value of his business. He has denied all wrongdoing."
5,abc,politics,"Mike Pompeo, Doug Mastriano being interviewed by Jan. 6 committee: Sources","['jan', 'committee', 'members', 'additional', 'investigators', 'mastriano', 'attorney', 'pompeo', 'talking', 'mike', 'committees', 'interviewed', 'sources', 'told', 'doug']","The House Jan. 6 committee was expected Tuesday to interview Donald Trump's former Secretary of State Mike Pompeo and Pennsylvania GOP gubernatorial nominee Doug Mastriano, sources familiar with the matter told ABC News.
ABC News first reported in July that Pompeo was in negotiations to sit with committee investigators behind closed doors.
Mastriano has said he would walk out of a deposition with investigators if they didn't agree to his terms.
Doug Mastriano gives a victory speech at his election-night party at The Orchards on May 17, 2022 in Chambersburg, Penn.
We anticipate talking to additional members of the president's Cabinet.","Mastriano's attorney wanted to record the committee or access their recording.

The House Jan. 6 committee was expected Tuesday to interview Donald Trump's former Secretary of State Mike Pompeo and Pennsylvania GOP gubernatorial nominee Doug Mastriano, sources familiar with the matter told ABC News.

ABC News first reported in July that Pompeo was in negotiations to sit with committee investigators behind closed doors. (CNN and The New York Times, respectively, first reported Mastriano and Pompeo's appearances before the panel.)

Mastriano has not agreed to the terms of his own closed-door interview with investigators. Mastriano's attorney wants to record the deposition or have access to the committee's recording after the fact. The committee has not agreed to that.

That has raised the possibility that in his virtual appearance, Mastriano may not answer questions or refuse to proceed. Mastriano has said he would walk out of a deposition with investigators if they didn't agree to his terms.

Doug Mastriano gives a victory speech at his election-night party at The Orchards on May 17, 2022 in Chambersburg, Penn. Michael M. Santiago/Getty Images, FILE

Mastriano, who has baselessly challenged the results of the 2020 election, was outside the Capitol on Jan. 6, 2021, but he has said he left when rioting broke out -- calling the violence ""unacceptable.""

His attorney previously told the Associated Press that he spoke with the FBI and ""told them the truth about everything that happened that day.""

The previous outreach to Pompeo, meanwhile, was an indication of the committee's continuing interest in gathering information and testimony from high-level Trump administration officials as the panel moved closer toward the release in the fall of a public report on its findings.

Former U.S. Secretary of State Mike Pompeo speaks during the American Freedom Tour at the Austin Convention Center, May 14, 2022, in Austin, Texas. Brandon Bell/Getty Images, FILE

The committee's vice chair, Wyoming Republican Rep. Liz Cheney, said in late July that the group's work continued apace after wrapping its public hearings for the summer.

More hearings are expected related to the committee's report.

""We have a number of many interviews scheduled that are coming up. We anticipate talking to additional members of the president's Cabinet. We anticipate talking to additional members of his campaign,"" Cheney told CNN in July, adding, ""We're very focused as well on the Secret Service and on interviewing additional members of the Secret Service and collecting additional information from them.""

ABC News' Adam Carlson and Jonathan Karl contributed to this report."
6,abc,politics,"Biden signs CHIPS Act, intended to relieve the pandemic-era computer chip shortage","['passed', 'relieve', 'chip', 'bill', 'joe', 'intended', 'computer', 'biden', 'chips', 'science', 'signs', 'act', 'house', 'white', 'shortage', 'pandemicera']","President Joe Biden on Tuesday signed a multibillion-dollar bill to boost domestic computer chip manufacturing and more, touting the bipartisan package as ""a once-in-a-generation investment in America itself.""
The law -- known as the CHIPS and Science Act -- spends nearly $53 billion to spur research in and development of America's semiconductor industry.
President Joe Biden walks to deliver remarks and sign the CHIPS and Science Act of 2022, on the South Lawn of the White House in Washington, Aug. 9, 2022.
The White House has said he repeatedly tested negative for COVID over the weekend, and he subsequently left isolation after a rebound case of the infection.
A White House official previously told ABC News the administration was not aware of the search in advance, referring questions to the Department of Justice.","President Joe Biden on Tuesday signed a multibillion-dollar bill to boost domestic computer chip manufacturing and more, touting the bipartisan package as ""a once-in-a-generation investment in America itself.""

The law -- known as the CHIPS and Science Act -- spends nearly $53 billion to spur research in and development of America's semiconductor industry. It is intended to address a nearly two-year global chip shortage that stemmed from supply chain issues related to the COVID-19 pandemic.

Semiconductors are common in everyday items from cell phones to cars to microwaves and more; experts compare them to the ""brain"" for any machine with a computer system.

Tuesday's event coincided with GlobalFoundries, Micron and Qualcomm announcing partnerships and investments that total nearly $45 billion.

Micron's $40-billion investment ""will bring the U.S. market share of memory chip production from less than 2 percent to up to 10 percent over the next decade,"" the White House said in a statement.

President Joe Biden listens during a signing ceremony for the CHIPS and Science Act of 2022, at an event on the South Lawn of the White House in Washington, D.C, Aug. 9, 2022. Mandel Ngan/AFP via Getty Images

The bill enacted Tuesday also has a national defense angle, its supporter say, as Congress and the White House look to bolster chip production domestically.

According to the Semiconductor Industry Association, a lobbying group focused on semiconductor manufacturing, the U.S. produces 12% of the world's chips, down from 37% in 1990.

At the signing event, Biden was joined by Commerce Secretary Gina Raimondo, House Speaker Nancy Pelosi and Senate Majority Leader Chuck Schumer.

""In the last six weeks alone, we passed not only CHIPS and Science, but also veterans' health care, gun safety, NATO and now the Inflation Reduction Act (IRA) has passed the Senate,"" Schumer said, referring to the recent reconciliation spending bill that Democrats narrowly approved last weekend.

That package had temporarily created turmoil for CHIPS in Congress.

Following a surprise agreement between Schumer and Democratic Sen. Joe Manchin of West Virginia that revived the IRA, some Republicans said they felt slighted by the Democratic progress on a party-line reconciliation package mere hours after CHIPS passed the upper chamber with a bipartisan majority.

President Joe Biden walks to deliver remarks and sign the CHIPS and Science Act of 2022, on the South Lawn of the White House in Washington, Aug. 9, 2022. Evelyn Hockstein/Reuters

Despite that consternation, Republican Sens. Rob Portman of Ohio and Todd Young of Indiana attended Tuesday's bill signing. Young led the GOP in negotiations on the bill, which ultimately passed the Senate 64-33 on July 27.

""I don't want to get you in trouble, but you did a hell of a job,"" Biden said to the two Republicans.

The president, at times, spoke through a thick, wet cough during the ceremony. The White House has said he repeatedly tested negative for COVID over the weekend, and he subsequently left isolation after a rebound case of the infection.

Biden did not mention the FBI's Monday search of former President Donald Trump's Mar-a-Lago home in Florida, which Trump decried as political persecution. (Sources told ABC News the operation was related to the 15 boxes of documents that Trump took when he departed the White House, some of which the National Archives has said were marked classified.)

A White House official previously told ABC News the administration was not aware of the search in advance, referring questions to the Department of Justice.

ABC News’ Sarah Kolinovsky and Allison Pecorin contributed to this report."
7,abc,politics,Video Republicans speak out against FBI search of Trump's Mar-a-Lago estate,"['video', 'spoke', 'republicans', 'search', 'fbi', 'warrant', 'speak', 'estate', 'maralago', 'trumps', 'president']",Republicans speak out against FBI search of Trump's Mar-a-Lago estate Many Republicans spoke out against the FBI executing a search warrant at former President Donald Trump's Mar-a-Lago estate.,Republicans speak out against FBI search of Trump's Mar-a-Lago estate Many Republicans spoke out against the FBI executing a search warrant at former President Donald Trump's Mar-a-Lago estate.
8,abc,politics,Video Voters headed to the polls for primary elections in 4 states,"['video', 'mean', 'elections', 'primary', 'minnesota', 'midterms', 'results', 'voters', 'states', 'polls', 'special', 'headed']","Voters headed to the polls for primary elections in 4 states FiveThirtyEight’s Galen Druke discusses the latest on the primary elections, the special election in Minnesota and what the results could mean for the midterms.","Voters headed to the polls for primary elections in 4 states FiveThirtyEight’s Galen Druke discusses the latest on the primary elections, the special election in Minnesota and what the results could mean for the midterms."
9,abc,politics,"Tuesday's primaries could set up history in Vermont, Wisconsin and more Trump-Pence fallout","['wisconsin', 'fallout', 'set', 'primary', 'race', 'gov', 'abortion', 'democratic', 'election', 'primaries', 'states', 'trumppence', 'state', 'governor', 'tuesdays', 'history', 'vermont']","In Wisconsin, several Republicans are hoping to take on incumbent Democratic Gov.
Tony Evers in a race with implications for abortion rights and the 2024 election in a politically divided state.
The state's Senate primary race is essentially over for both parties, with Lt. Gov.
In the primary race to fill the sole House seat of outgoing Democratic Rep. Peter Welch, the top two candidates are Lt. Gov.
Gray is seen as the establishment candidate, backed by Vermont Governor and former Democratic National Committee chair Howard Dean, while Balint is an openly gay progressive who is backed by Sens.","There will be elections in Connecticut, Minnesota, Vermont and Wisconsin.

Tuesday's primary races -- in four states: Connecticut, Minnesota, Vermont and Wisconsin -- feature another Donald Trump-Mike Pence proxy battle for governor, another attempt by Trump to oust a state legislative leader for perceived lack of loyalty, a member of the progressive ""squad"" facing down a primary challenge and a potential barrier-breaking primary in Vermont, the last state in the nation never to send a woman to Congress.

In Wisconsin, several Republicans are hoping to take on incumbent Democratic Gov. Tony Evers in a race with implications for abortion rights and the 2024 election in a politically divided state.

Trump has thrown his support behind Tim Michels, a veteran and co-owner of a construction company. Michels has been pitching himself as a political outsider, even though this is not his first run for public office.

Michels has avoided saying whether or not he would try to attempt the impossible and reverse Trump's defeat in the 2020 election, something that other Trump endorsees have said that they plan to do.

Former President Donald Trump takes the stage at the Conservative Political Action Conference in Dallas, Aug. 6, 2022. Brian Snyder/Reuters

Michels' opponent Rebecca Kleefisch, a former two-term lieutenant governor, is backed by Pence and former Gov. Scott Walker. Kleefisch initially said President Joe Biden was legitimately elected, but she has since baselessly claimed the election was ""rigged"" -- comparing it even to the NFL ""Deflategate"" scandal.

Both candidates have hardline stances on abortion access, with the two supporting the state's 1849 abortion ban, which criminalized abortion and banned doctors from performing the procedure unless it was to save the mother's life.

The state's Senate primary race is essentially over for both parties, with Lt. Gov. Mandela Barnes clearing the once-crowded field of Democratic opponents to position himself as the presumptive nominee. He will most likely face-off against Republican Sen. Ron Johnson, who faces no serious challenger in the primary.

Johnson is considered one of the most vulnerable GOP incumbents facing reelection this year. Democrats see his state as one of their best opportunities to flip a seat in Congress' upper chamber. Barnes is the state's first Black lieutenant governor and if he wins in November, he would be the first Black U.S. senator from Wisconsin.

Wisconsin Assembly Speaker Robin Vos talks to the media in Madison, Wisc., Feb. 15, 2022. Andy Manis/AP, FILE

Wisconsin's primaries will feature another Trump-Pence split, this time in the 63 State Assembly District race where Trump-backed Adam Steen faces off against Assembly Speaker Robin Vos -- who earned Trump's disfavor because he couldn't overturn the 2020 election results in the state, though not because he didn't try.

In Minnesota, Democratic incumbent Rep. Ilhan Omar faces a formidable primary challenger in her third bid for her Congressional seat. The race is the latest example this cycle of a progressive incumbent against a moderate challenger. She and her main opponent, Don Samuels, who is endorsed by Minneapolis Mayor Jacob Frey, have quarreled over hot-button issues such as police reform and Biden's infrastructure plans.

In Vermont, for the first time in history, state voters are almost certain to send a woman to Congress -- making it the last in the nation to break the streak. In the primary race to fill the sole House seat of outgoing Democratic Rep. Peter Welch, the top two candidates are Lt. Gov. Molly Gray and state Sen. Becca Balint. Gray is seen as the establishment candidate, backed by Vermont Governor and former Democratic National Committee chair Howard Dean, while Balint is an openly gay progressive who is backed by Sens. Bernie Sanders and Elizabeth Warren."
