,history,physics,university,computer,research,rochester,ub,engineering,science,award,professor,faculty,buffalo,disability,war,ieee,arts,var,quantum,matter
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test0.csv,-6.949392712550607,-0.0,-41.21457489878542,-0.0,-0.0,-3.283147773279352,-0.0,-2.021761133603239,-0.0,-0.0,-2.0521255060728745,-0.0,-0.0,-0.0,-0.0,-0.0,-4.831983805668015,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test1.csv,28.246758674949596,-0.0,-7.18634955498369,-0.0,-0.6916329284750343,3.4109848546935697,-0.0,-0.5385935545028876,-0.0,15.433333333333332,1.5474956905265345,-0.0,-0.0,-0.0,-0.0,-0.0,-1.282940358526338,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test10.csv,-11.049874276862184,-0.0,-46.75951042731267,-0.0,-0.0,-5.194590763322701,-0.0,-3.229505785677647,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.674168231113619,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test100.csv,-0.0,-0.0,-1.51782890312288,9.07962213225371,-4.850597574249821,4.399007460943561,-0.0,-0.9126356840187111,2.8738641475483573,-0.20536212325686024,0.0699080322890938,-0.4970760233918129,-0.0,-0.0,-0.0,2.8291497975708504,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test101.csv,-0.0,-0.0,-33.004496636789824,2.554333513634603,-0.0,5.49025076750833,-0.0,-3.717091927600253,-7.806079149441604,-0.0,-0.0,-2.032573766645789,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test102.csv,-0.0,-0.0,7.953264548476307,27.480196606686356,-3.4336617100174855,5.71153972113279,-0.0,20.69629612886616,-0.9709522659398584,1.6714497047924495,1.056312355122131,-1.1917121747888737,-0.0,-0.0,-0.0,108.20716943401793,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test103.csv,-0.0,-0.0,-26.550518830791667,7.789011529341806,-0.0,4.61145375174371,-0.0,-2.961237122865672,-6.268609335470136,-0.0,-1.1775540490117447,-1.6498061592548128,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test104.csv,-0.0,-0.0,-28.556413198037777,7.86678881059953,-0.0,4.663059610375196,-0.0,-2.9450951024569463,-6.226060148081235,-0.6259998576965707,-0.0,-4.817068624232621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test105.csv,-0.0,-0.0,-9.353854918656982,46.94425120407888,-3.6704802327635138,4.934251560789813,-0.0,9.128146046274388,-2.0072515729812483,-0.0,0.12113063193017773,-2.0735066782766025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test106.csv,-0.0,-0.0,-22.46609363117155,13.02139998462917,-0.0,4.036487981654569,-0.0,-2.4418631954427803,-5.2014585986157496,-0.0,-0.9821388962264571,-1.3850552268657412,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test107.csv,-0.0,-0.0,-25.968941741037103,8.098236421938363,-0.0,4.837402123164339,-0.0,-2.878618972562716,-4.793143740960166,-0.0,-1.1595314351916006,-1.6405317742829642,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test108.csv,-0.0,10.91902834008097,-5.320228857697123,-1.3210138489250323,-6.22417074479319,5.349898727897616,-0.0,-0.0,-2.6453182924581964,-0.0,2.826925040063516,-0.7139496760574978,-0.0,-0.0,-0.0,-0.0,-1.2924708220218246,-0.0,-0.0,1.4846545644508293
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test109.csv,-0.0,-0.0,-27.594754202534457,8.228693010711588,-0.0,4.956470451568553,-0.0,-2.862588447633481,-6.039491659110871,-0.0,-0.0,-1.6386260968349688,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test11.csv,119.43624497293305,-0.0,3.5717628489933237,-0.0,-2.6306925986579484,-0.20363774088260292,-0.0,-0.20582435323209783,-0.0,-0.0,-0.20420548862689075,-0.0,-0.0,-0.0,24.092178995629677,-0.0,-0.5035372565482127,-0.0,-0.0,-0.1664184231275091
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test110.csv,-0.0,-0.0,-24.42750567263317,9.30469020500021,-0.0,4.865224400605301,-0.0,-2.74204549480334,-5.783229755839047,-0.0,-1.0974885890506088,-1.5790515019662719,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test111.csv,-0.0,-0.0,-9.170549895347431,-0.0,-1.642121923787288,-0.9841365785824024,-0.0,-0.6451362316802869,-0.0,-0.0,-0.6376301989649762,-0.0,-0.0,-0.0,-0.0,-0.0,-1.579614060111577,-0.0,-0.0,-0.0
