,physics,history,research,theory,mit,computer,engineering,systems,science,areas,quantum,experiment,data,show,submenu,matter,software,professor,award,faculty
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test0.csv,-0.0,-6.952868852459017,-0.0,-0.0,-0.0,-0.0,-1.9727459016393443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.221311475409836,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test1.csv,-0.0,28.20648011287288,-6.574562841530052,-0.0,-0.0,-0.0,-0.5258484838305115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.48316290423721253,16.48120218579235,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test10.csv,-0.0,-11.096559745088797,-0.0,-0.0,-0.0,-0.0,-3.1542627559391905,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test100.csv,-0.0,-0.0,-6.9772560950361795,-0.0,-0.0,10.144262295081967,-0.8762864168620642,-0.04830601092896174,2.2121675774134784,-0.5554098360655738,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.43568565058553615,0.007763671653378642,-0.41296903460837886
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test101.csv,-0.0,-0.0,-0.0,-0.0,-0.0,4.8735339962375726,-3.5781846280160625,-0.0,-8.967732514611312,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6890591700395516
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test102.csv,-0.0,-0.0,-5.623954172566981,-0.8932377049180329,-0.7247950819672133,28.817020278758392,20.85615083481857,-0.0,-1.3227185763512714,-0.016074711099166805,-0.0,-0.0,5.75503512880562,-0.0,-0.0,-0.0,-0.0,0.4424052841919152,1.97958493488197,-0.6533718903501996
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test103.csv,-0.0,-0.0,-0.0,-0.0,-0.0,9.962565874475285,-2.888387334780618,-0.0,-7.268543049836693,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8923098272806416,-0.0,-1.3738001942811173
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test104.csv,-0.0,-0.0,-0.0,-0.0,-0.0,9.99049609435319,-2.88189094825888,-0.0,-7.25046414256907,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04920324168136384,-3.715784237867988
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test105.csv,-0.0,-0.0,-4.607346487536912,-1.5144249214124583,-0.0,49.018380526985396,9.213381792031987,-0.5666334291585567,-2.2217789112036344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5831225815902095,-0.0,-1.5711225817003398
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test106.csv,-0.0,-0.0,-0.0,-0.0,-0.0,15.046219247432965,-2.4142278348062356,-0.0,-6.095724027938514,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5916478326469168,-0.0,-1.1565147431240934
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test107.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.074012330633892,-2.855069780504217,-0.0,-6.263061258090052,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8843963238679164,-0.0,-1.3703008352335189
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test108.csv,5.6360655737704946,-0.0,-8.224247390947822,-1.6404625257332466,-0.30281002657107436,-0.9480464803735457,-0.0,2.93656567234907,-3.129389477296546,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7471179270227392,-0.0,1.559853466685855,-0.0,-0.5965656836230986
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test109.csv,-0.0,-0.0,-0.0,-0.0,-0.0,10.122986157108876,-2.8485916002962917,-0.0,-7.171444965311063,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3695762612785878
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test11.csv,-0.0,119.28334909587652,-3.5150894527758734,-0.0,-0.0,-0.0,-0.2056470315262603,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28132105859908957,-0.0,-0.33557034784299933,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test110.csv,-0.0,-0.0,-0.0,-0.0,-0.0,11.150653392916894,-2.7394505567443517,-0.0,-6.897968287421481,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.808121012182638,-0.0,-1.3202682594107604
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test111.csv,-0.0,-0.0,-2.014786717456257,-0.0,-0.0,-0.0,-0.6459787526880906,-0.07513181402961555,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.053574668135879,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test112.csv,-0.0,-0.0,-12.32628583257984,-0.0,-1.7880920250570569,33.17827527260064,30.870830653460754,-0.0,-3.853269730922458,-0.9947868723990114,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1367028673929371,3.834725480829043,-1.4330600220896952
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test113.csv,-0.0,-0.0,-14.360124879718999,-0.0,-0.0,8.611187515746533,-2.3820278750660746,-0.0,-1.4075830885518616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.023536148286624,-1.1531083613818025
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test114.csv,-0.0,-0.0,-14.481917256156224,-0.0,-2.294181304395491,24.235997464750888,-1.8550478156902914,-0.9015883830838716,0.21342864025091188,-0.0,-0.0,-0.0,-0.821962624786151,-0.0,-0.0,-0.0,-0.0,-0.9042189423757755,0.052598473092462766,-2.428207756489408
