,physics,history,research,theory,computer,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test0.csv,-0.0,-7.844414893617021,-0.0,-0.0,-0.0,-0.0,-1.6519281914893618,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.554438164893617,-0.7385305851063831
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test1.csv,-0.0,24.638090977252155,-2.573404255319151,-0.0,-0.0,-0.0,-0.44035230814754034,-0.0,1.3164228723404254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.144636524822694,-0.0,-1.1027139986336671,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test10.csv,-0.0,-12.525954083023212,-0.0,-0.0,-0.0,-0.0,-2.641464819016054,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.080455923339018,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test100.csv,-0.0,-0.0,-5.55084788868769,-0.0,11.000591016548462,2.5766252955082747,-0.6201151934416687,0.05744680851063819,-0.0,-0.3591016548463357,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1464282559353151,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test101.csv,-0.0,-0.0,-0.0,-0.0,6.789892831095015,-8.360376738040202,-2.5316015023809926,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test102.csv,-0.0,-0.0,-4.167844331069146,-0.6815159574468086,29.941677289918026,-1.1452500619741026,22.178255091147886,-0.0,-0.0,0.2990955953548615,-0.0,-0.0,-0.0,-0.0,6.013297872340425,-0.0,2.1831021629799503,-0.0,-0.6137217317546669,0.5849472940920211
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test103.csv,-0.0,-0.0,-0.0,-0.0,11.8580689346575,-6.781471334660014,-2.0417964508318587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test104.csv,-0.0,-0.0,-0.0,-0.0,11.878204481286943,-6.767142108956446,-2.036902037511454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5068119580710765,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test105.csv,-0.0,-0.0,-3.9909122204358978,-1.1554285418338546,50.898313251923526,-2.1236834440555112,10.555135934264355,-0.48292235105697084,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0400787669538007,0.9958896796982427
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test106.csv,-0.0,-0.0,-0.0,-0.0,16.91839528217363,-5.692386212704018,-1.705365819261276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test107.csv,-0.0,-0.0,-0.0,-0.0,11.938450607596272,-5.619061268346493,-2.016429018042257,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test108.csv,14.3125,-0.0,-6.912835404046476,-0.8768506086352539,-0.58868143283164,-2.9247001878383405,-0.0,3.2030699851234012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3043925875085793,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test109.csv,-0.0,-0.0,-0.0,-0.0,11.975219531566,-6.70430830157334,-2.011545849151281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test11.csv,-0.0,115.70709079521195,-2.9390240800558916,-0.0,-0.0,-0.0,-0.17245025873319952,-0.0,-0.036105912156844826,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1957325837988327,-0.0,-0.0,2.962731908430964,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test110.csv,-0.0,-0.0,-0.0,-0.0,12.995199292827216,-6.451102556939734,-1.9340696692722579,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test111.csv,-0.0,-0.0,-1.773430027250686,-0.0,-0.0,-0.0,-0.5417735688113992,0.12008723589010062,-0.0,-0.0,-0.0,-0.0,-0.07036790780141844,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test112.csv,-0.0,-0.0,-9.894067173873824,-0.0,35.01515248525697,-3.6050026596576035,33.32079807923865,-0.0,-0.0,-0.6424622329144565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.265356368166543,-0.0,-1.3650151751750759,-0.12991745065746774
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test113.csv,-0.0,-0.0,-12.193582597050828,-0.0,10.15459802790706,-0.6919238551753606,-1.6814068961838036,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.979247421122867,-0.0,-0.0,-0.0
