,history,physics,engineering,computer,publication,science,research,view,details,professor,faculty,award,pdf,quantum,studies,book,press,systems,hashimoto,tatsunori
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test0.csv,-7.7243589743589745,-0.0,-1.658882783882784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.11595695970696,-0.0,-0.0,-0.0,-0.0,-0.6359890109890111,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test1.csv,25.12403728749883,-0.0,-0.44214536735141136,-0.0,0.7837301587301587,-0.0,8.561691086691086,-0.0,-0.0,1.4852250081903244,-0.0,18.204273504273505,-0.0,-0.0,-0.0,21.423809523809528,4.288339438339438,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test10.csv,-12.324834929167137,-0.0,-2.6519776453658483,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test100.csv,-0.0,-0.0,-0.625136812125165,11.002035002035003,-0.0,4.411558811558812,-1.5672030363025486,-0.0,-0.0,0.03605146079402104,-0.3271062271062271,0.3706460870563435,-0.0,-0.0,-0.0,-0.0,-0.0,0.8344322344322345,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test101.csv,-0.0,-0.0,-2.550166226816639,6.807688580582354,-0.0,-5.261551933346803,-0.0,-0.0,-0.0,-0.0,-1.3377743745875617,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test102.csv,-0.0,-0.0,22.157768215470657,29.956641781847644,-0.0,-0.2311641507136717,-0.09203044324651444,-0.0,-0.0,1.0112621704741138,-0.10134356865471159,2.5145105927686866,-0.0,-0.0,0.6170569704530163,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test103.csv,-0.0,-0.0,-2.0489801339315807,11.901526803361786,-0.0,-4.248735843046057,-0.0,-0.0,-0.0,-1.2364050270247424,-1.087401136322026,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test104.csv,-0.0,-0.0,-2.0422347248144055,11.92917968467431,-0.0,-4.231405609576878,-0.0,-0.0,-0.0,-0.0,-2.570151336151583,1.2608144646446091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test105.csv,-0.0,-0.0,10.549593779602581,50.95678191968406,-0.0,-1.6043975721202168,-2.260859063249251,-0.0,-0.0,0.06087906205370398,-1.0438502056336605,-0.0,-0.0,-0.0,1.0515941313277548,-0.0,-0.0,0.1356187971572588,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test106.csv,-0.0,-0.0,-1.7048529386851574,16.984333601149846,-0.0,-3.548745435659259,-0.0,-0.0,-0.0,-1.03801541200629,-0.9147816361208272,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test107.csv,-0.0,-0.0,-2.0140311265946895,12.011834821660559,-0.0,-2.1668990372456127,-0.0,-0.0,-0.0,-1.2281925926952837,-1.083790203705796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
