,history,physics,university,engineering,computer,research,science,vanderbilt,rochester,ub,faculty,professor,award,buffalo,department,studies,arts,graduate,information,latin
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test0.csv,-6.336014851485149,-0.0,-30.928217821782177,-2.145730198019802,-0.0,-0.0,-0.0,-0.0,-1.400061881188119,-0.0,-0.0,-1.9554455445544554,-0.0,-0.0,-3.401918316831683,-0.15037128712871284,-1.8842821782178216,-1.969678217821782,-0.593440594059406,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test1.csv,30.681524789236352,-0.0,0.9503529065777911,-0.5718526625249158,-0.0,6.434158415841583,-0.0,-0.0,5.814257487011077,-0.0,-0.0,1.6319407002581445,17.575,-0.0,-0.9048510103176162,-0.0,-0.4999096544864881,-0.5821082185570043,-0.1581850890844035,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test10.csv,-10.098361891027478,-0.0,-36.69559934426929,-3.429842780762107,-0.0,-0.0,-0.0,-0.0,-2.2096710341656225,-0.0,-0.0,-0.0,-0.0,-0.0,-5.418851332682451,-0.0,-2.986463033953235,-3.139936792250213,-0.9488238550289249,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test100.csv,-0.0,-0.0,4.4519902934546645,-1.0135773698907655,9.709570957095709,-2.3218798538269665,4.506215621562156,-0.0,6.315073398994003,-0.0,-0.4158415841584159,0.1063773943380518,0.2400742574257426,-0.0,-0.0005257340512242099,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test101.csv,-0.0,-0.0,-24.052156899266382,-4.136313115762738,3.921510962977486,-0.0,-5.090131302734235,-0.0,11.124897439538291,-0.0,-1.7006264982933934,-0.0,-0.0,-0.0,-2.533099778223328,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test102.csv,-0.0,-0.0,13.955045096572329,20.155791291004327,28.265831607878255,-0.8595991822784734,-0.17841093022222831,-0.0,7.491868970033007,-0.0,-0.6711045020924854,1.0972398403045271,2.323684325635092,-0.0,-0.1174940451200166,0.7677235419627979,-0.0,-0.3893755793443018,1.971859738337642,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test103.csv,-0.0,-0.0,-19.416357561846876,-3.3282660686171974,9.059661105128832,-0.0,-4.095831263975106,-0.0,9.134775976165688,-0.0,-1.381960474406941,-1.1353502532042294,-0.0,-0.0,-2.045928316672368,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test104.csv,-0.0,-0.0,-19.369535338596027,-3.3180942319269193,9.104067884571581,-0.0,-4.072605957989074,-0.0,9.157618816695622,-0.0,-3.74758376746685,-0.0,0.8348308486434971,-0.0,-2.0385605657983876,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test105.csv,-0.0,-0.0,-3.6377070527015363,8.525261625404196,48.14836474624343,-2.5843747658137626,-1.5707127457683199,-0.0,7.283206702007454,-0.0,-1.5844114142125052,0.1607809351317994,-0.0,-0.0,1.9551337312891406,1.30876741751752,-0.0,-0.6582414945070585,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test106.csv,-0.0,-0.0,-16.336820397574332,-2.772635859251249,14.192551962218083,-0.0,-3.4074086732589888,-0.0,7.778005005926909,-0.0,-1.1620511249627736,-0.9509999779827791,-0.0,-0.0,-1.70203830732153,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test107.csv,-0.0,-0.0,-19.112433065420916,-3.2763735483743006,9.23662980389576,-0.0,-1.9318602108731835,-0.0,9.243831189172957,-0.0,-1.376666010384013,-1.1243832705786077,-0.0,-0.0,-2.0101150468091458,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test108.csv,-0.0,28.745049504950494,1.7767961146947076,-0.0,-1.1069809273538849,-3.9162151175580853,-1.7372336938483866,-0.0,7.8012690571744185,-0.0,-0.599246227612905,2.884996678518275,-0.0,-0.0,2.1137649003183205,-0.0,-0.3254017928058161,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test109.csv,-0.0,-0.0,-18.864981598842668,-3.266244527294784,9.313041564102338,-0.0,-3.9690051605977716,-0.0,9.303425330612882,-0.0,-1.3755703169043656,-0.0,-0.0,-0.0,-1.988922270757447,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test11.csv,121.78899220780514,-0.0,7.309875030393861,-0.2220976369600021,-0.0,-1.619095163308069,-0.0,-0.0,0.23765553148161198,-0.0,-0.0,-0.19914392142336818,-0.0,-0.0,-0.34521407716612246,-0.0,-0.1955630385447472,3.611384819837664,-0.15929938809588146,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test110.csv,-0.0,-0.0,-18.101185025391434,-3.138065790687165,10.356821164191196,-0.0,-3.805016108517691,-0.0,9.014710113880952,-0.0,-1.3258459932955278,-1.0716566533684615,-0.0,-0.0,-1.9063376094977764,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test111.csv,-0.0,-0.0,-7.343197744088283,-0.6972011096458681,-0.0,-1.2190731223528317,-0.0,-0.0,-0.4115333287188896,-0.0,-0.0,-0.6235675422667696,-0.0,-0.0,-0.0,-0.0,-0.6126113171469649,-0.0,3.396806409579759,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test112.csv,-0.0,-0.0,-7.619005915748768,29.66837261669219,32.400492398933295,-4.304910512149742,-2.1184689105956873,-0.0,9.75384446153887,-0.0,-1.4571557165039293,-0.4755725894594741,4.580522506036346,-0.0,7.477309842466831,0.0942830278363137,-0.0,-0.8546027899078641,-0.4731961594332445,-0.0
